Price per meter,Bedrooms,Bathrooms,Floor,Year Built,Area in m²,Payment Method_Cash or Installments,Payment Method_Installments,Seller Type_Compound Developer,Seller Type_Developer,Seller Type_Private Owner,View_0,View_1,View_2,View_3,Governorate_0,Governorate_1,Governorate_2,Governorate_3,Governorate_4
-0.45476433570467384,-2.40942083965321,-1.40942083965321,0.31396374801627,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1
0.5159293093480708,0.0,1.0,0.0,0.33333327922114303,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1
0.0,0.0,0.0,0.0,0.6665021523792793,0.0,1.0,0.0,0.0,0.0,1.0,0,0,1,1,0,0,0,0,1
0.3785492647654703,-1.0,0.0,0.31396374801627,0.33333327922114303,-0.7204970710407707,0.0,1.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,1
-0.44977365866955665,-1.0,0.0,-1.19897784671579,0.0,0.4221035368354636,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1
-0.8217503887239697,0.0,1.0,1.19897784671579,-3.6775634723826776,0.9557601866894015,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1
1.9232111514843715,0.0,1.0,0.55749295065024,1.3323473286522867,0.3231554572420842,0.0,1.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,1
0.5592548507685374,0.0,0.0,0.31396374801627,1.3323473286522867,1.3375362761934348,1.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,1
1.6076254778375867,-1.0,0.0,0.75647079736603,0.33333327922114303,-0.655304637611691,1.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1
-0.7067438676714476,0.7756602606914668,1.0,0.0,0.0,1.2696965404436056,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,1
0.07807052774119963,-2.40942083965321,-1.40942083965321,-0.4425070493497601,0.6665021523792793,-2.21908472993173,1.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,1,0
-0.14107365164644856,0.0,1.0,0.0,0.33333327922114303,0.22007105406500113,1.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,1
0.2854392440502287,-1.0,1.0,0.0,0.0,-0.9511607117352839,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1
-0.17988812156516074,-2.40942083965321,0.0,-0.4425070493497601,0.33333327922114303,-1.9151556421763558,1.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,1,0
0.0,0.0,0.0,0.0,-0.6671604262169758,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1
0.0372224882419969,0.0,1.7756602606914667,-0.4425070493497601,1.3323473286522867,0.6596852843448795,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1
-0.1855854705239733,-1.0,0.0,0.0,0.0,-1.024787178113538,0.0,1.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,1
0.1865819693868639,-1.0,0.0,-0.4425070493497601,0.999506781570994,-0.6127811107046442,0.0,1.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,1
0.0,0.0,0.0,-0.4425070493497601,-1.3349804278518447,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1
1.7556340735506346,-2.40942083965321,-1.40942083965321,0.0,0.0,-2.759337298358035,1.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,1
0.0,0.0,0.0,-1.19897784671579,0.33333327922114303,0.0,0.0,1.0,0.0,0.0,1.0,0,1,1,0,0,0,0,0,1
-0.6154282486492119,1.4094208396532097,0.0,0.0,-5.019838880037681,2.714985885080795,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,1
-0.4551380561733995,-1.0,0.0,0.0,0.0,-0.7204970710407707,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1
-1.1074392544941563,0.0,1.0,1.6002967374713295,-0.3334978476207207,0.12814848402898915,1.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,1
0.07807052774119963,0.0,0.0,-1.19897784671579,0.999506781570994,0.0808696535590532,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1
-3.6460786156334537,0.0,0.0,1.0704345453822999,0.0,0.016387458712960913,1.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,1
-0.6432583983274663,-1.0,-1.40942083965321,-0.4425070493497601,0.0,-1.1526035224258602,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,1
0.0,0.0,0.0,0.75647079736603,0.999506781570994,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,1
-1.4192917957070557,0.0,-1.40942083965321,0.31396374801627,0.0,-0.5298723470977463,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,1
-1.1570672041867722,0.0,1.0,1.4179811482680222,-3.3424109591141296,0.8415590702043466,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,1
0.0,0.0,0.0,-1.19897784671579,-5.019838880037681,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1
0.1126104356808384,0.7756602606914668,1.7756602606914667,0.55749295065024,0.999506781570994,0.6722364740914313,0.0,1.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,1
0.0,0.0,0.0,0.0,0.999506781570994,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,1
-0.5437815166973279,-2.40942083965321,-1.40942083965321,-0.4425070493497601,0.0,-3.734298469464997,1.0,0.0,0.0,0.0,1.0,0,1,1,1,0,0,0,1,0
0.4040975430338789,-2.40942083965321,-1.40942083965321,0.0,0.0,-1.9151556421763558,1.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,1,0
0.24108389403910271,0.0,1.0,0.0,0.0,0.6216438597754527,1.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,1
0.10397324569216108,0.0,0.0,0.75647079736603,0.0,-0.31527588676208246,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,1
0.571885030971177,0.0,1.0,-0.4425070493497601,0.0,0.4221035368354636,1.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,1
-1.0777340766847021,1.4094208396532097,1.7756602606914667,-1.19897784671579,0.33333327922114303,1.583006461806749,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1
-0.374246584089386,0.0,0.0,0.0,0.999506781570994,-0.9270990236879796,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1
0.0,0.0,0.0,0.0,0.999506781570994,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1
-2.4843926312165503,0.0,0.0,1.0704345453822999,-1.0009878986077079,0.3231554572420842,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,1
0.23529000803305442,-1.0,0.0,-0.4425070493497601,1.3323473286522867,-0.24164942038382614,1.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1
-0.5382793754480137,0.0,1.0,0.0,-0.6671604262169758,0.6596852843448795,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1
0.1809545030011687,-1.0,0.0,0.31396374801627,0.999506781570994,-0.7426165328721638,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1
0.5815453239291719,0.0,1.0,0.0,0.999506781570994,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1
0.0,0.0,0.0,0.75647079736603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,1
-0.904291422657582,0.0,0.0,0.55749295065024,0.33333327922114303,-0.3340311365558348,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1
0.0,0.0,0.0,0.31396374801627,-2.3379499909309502,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,1
-0.6068808171291922,0.7756602606914668,1.0,0.0,0.0,1.1281484840289913,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1
0.36176629585024345,0.0,1.0,0.31396374801627,1.3323473286522867,0.3231554572420842,1.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,1
1.1985984701571373,0.0,2.4094208396532095,-1.19897784671579,0.6665021523792793,1.0434602164216802,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1
-2.2258378326107016,1.9452577742021844,2.4094208396532095,-1.19897784671579,-2.6726043830299,2.9742899768009106,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,1
0.951755133587164,-1.0,0.0,0.0,-0.3334978476207207,-0.0836115142776665,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1
-0.12116530304267291,0.0,1.0,-1.19897784671579,-0.6671604262169758,0.6088318649250393,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,1
0.42943694624924417,0.0,1.0,0.0,0.0,0.33753627619343274,0.0,1.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,1
-1.9122676773457978,0.0,0.0,0.31396374801627,0.0,1.8840492959122077,1.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,1
-0.05712045584698854,-2.40942083965321,-1.40942083965321,0.55749295065024,0.6665021523792793,-2.1789813510056137,1.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,1,0
-1.1983381046267667,1.4094208396532097,1.7756602606914667,0.0,0.0,1.0861678370410128,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,1
-0.8230244136866883,-1.0,-1.40942083965321,1.0704345453822999,-1.0009878986077079,-0.8562911901449457,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,1
0.08353489111468856,-1.0,-1.40942083965321,0.0,0.0,-0.7204970710407707,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0
1.0865636858357361,0.0,1.0,0.0,1.3323473286522867,0.09673018064681135,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1
0.7901111875358807,0.0,0.0,0.9247041696625747,1.3323473286522867,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1
-0.05689834800752594,0.7756602606914668,1.7756602606914667,-1.19897784671579,0.0,-0.06666090829376342,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,1,0,0
-0.09379073370145144,0.0,1.0,0.0,0.0,0.0808696535590532,0.0,1.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,1
-0.9949216777494041,1.4094208396532097,1.7756602606914667,0.31396374801627,0.0,1.837659775380447,1.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,1
-1.4056364967669568,0.0,1.0,0.0,0.999506781570994,0.14370880985505644,0.0,1.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,1
0.0,0.0,0.0,1.0704345453822999,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,1
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,1
0.7277408080044989,-2.40942083965321,-1.40942083965321,0.31396374801627,1.3323473286522867,-2.759337298358035,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1
0.0,0.0,0.0,0.75647079736603,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1
0.6296892495598524,-1.0,0.0,0.0,0.999506781570994,0.6847241132379197,1.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,1,0,1
-0.15031379969023437,0.7756602606914668,1.7756602606914667,0.55749295065024,-0.6671604262169758,0.8180702882578736,0.0,1.0,0.0,0.0,0.0,1,0,1,1,0,0,0,0,1
0.7918923973996129,0.0,0.0,0.31396374801627,0.0,0.17453800456074983,0.0,1.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,1
-1.1074392544941563,0.0,1.0,0.31396374801627,-6.364786813912418,1.2696965404436056,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1
-1.1074392544941563,0.7756602606914668,0.0,1.0704345453822999,-0.3334978476207207,0.43592039909226576,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1
-0.3567786621593011,-2.40942083965321,-1.40942083965321,0.0,0.0,-1.024787178113538,1.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,1
0.5448912069217525,0.0,1.0,0.31396374801627,-2.3379499909309502,0.5699916376077782,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,1
-1.375044924733632,0.0,1.0,-1.19897784671579,-0.3334978476207207,-0.06666090829376342,1.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,1
-1.2876380068425892,-1.0,-1.40942083965321,1.3139637480162702,0.0,-0.5298723470977463,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,1,0,1
0.7134798383169674,0.0,0.0,0.0,1.3323473286522867,-0.430008362392224,1.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,1
-1.1074392544941563,0.0,1.0,1.5129415947320601,-0.3334978476207207,0.33753627619343274,1.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,1
